"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"rvest","packages/x86_64-pc-linux-gnu/4.1/","1.0.2",NA,NA,NA,NA
"s2","packages/x86_64-pc-linux-gnu/4.1/","1.0.7",NA,NA,NA,NA
"sandwich","packages/x86_64-pc-linux-gnu/4.1/","3.0-1",NA,NA,NA,NA
"sass","packages/x86_64-pc-linux-gnu/4.1/","0.4.0",NA,NA,NA,NA
"scales","packages/x86_64-pc-linux-gnu/4.1/","1.1.1",NA,NA,NA,NA
"selectr","packages/x86_64-pc-linux-gnu/4.1/","0.4-2",NA,NA,NA,NA
"sessioninfo","packages/x86_64-pc-linux-gnu/4.1/","1.2.0",NA,NA,NA,NA
"sf","packages/x86_64-pc-linux-gnu/4.1/","1.0-7",NA,NA,NA,NA
"shiny","packages/x86_64-pc-linux-gnu/4.1/","1.7.1",NA,NA,NA,NA
"slackr","packages/x86_64-pc-linux-gnu/4.1/","3.2.0",NA,NA,NA,NA
"snow","packages/x86_64-pc-linux-gnu/4.1/","0.4-4",NA,NA,NA,NA
"sp","packages/x86_64-pc-linux-gnu/4.1/","1.4-6",NA,NA,NA,NA
"SpaDES.core","packages/x86_64-pc-linux-gnu/4.1/","1.0.10",NA,NA,NA,NA
"SpaDES.install","packages/x86_64-pc-linux-gnu/4.1/","0.0.7","SpaDES.install","PredictiveEcology","HEAD","e70d82e57dc2642c5d92aed7da525f48d23c1e57"
"SpaDES.project","packages/x86_64-pc-linux-gnu/4.1/","0.0.1","SpaDES.project","PredictiveEcology","HEAD","aca2f32891d5af0395d0fa0f9464db5932bab8d1"
"SpaDES.tools","packages/x86_64-pc-linux-gnu/4.1/","0.3.9","SpaDES.tools","PredictiveEcology","development","b334740fb08cf9eabe2e0bfdc2b626777eba951c"
"SparseM","packages/x86_64-pc-linux-gnu/4.1/","1.81",NA,NA,NA,NA
"spatialEco","packages/x86_64-pc-linux-gnu/4.1/","1.3-7",NA,NA,NA,NA
"SpatialPack","packages/x86_64-pc-linux-gnu/4.1/","0.3-8196",NA,NA,NA,NA
"spatstat","packages/x86_64-pc-linux-gnu/4.1/","2.2-0",NA,NA,NA,NA
